hg_ww_ppm,tl_cm,sex,common_name
1.118421036,61,F,Blacktip
1.066016861,60,F,Blacktip
0.874594448,70,F,Blacktip
1.819567461,57,M,Blacktip
1.70587854,72,M,Bonnethead
1.399522452,116,F,Blacknose
1.51723398,62,M,Blacktip
0.47796265,76,M,Bonnethead
0.4746038,66,NA,Bonnethead
1.66599208,78,M,Bonnethead
8.539616093,170,M,Blacktip
3.506425469,164,M,Blacktip
3.782373154,175,F,Blacktip
6.180654199,172,F,Blacktip
6.756260182,164,M,Blacktip
5.170301244,164,M,Blacktip
0.40378089,68,NA,Bonnethead
0.72406328,71,F,Bonnethead
0.98507987,82,F,Bonnethead
0.96715474,83,F,Bonnethead
0.92196511,83.6,F,Bonnethead
1.65653026,95.1,F,Bonnethead
0.95573155,82.3,F,Bonnethead
1.91830728,83,M,Bonnethead
2.499571965,89,M,Blacktip
1.4457842,78,M,Bonnethead
1.7699481,78,M,Bonnethead
4.8529344,105,NA,Blacknose
0.898873474,88,F,Blacktip
2.664507623,103,F,Blacktip
1.767582012,129,F,Blacknose
2.424825684,131,F,Blacknose
2.093866548,119,F,Blacknose
3.832175388,124,F,Blacknose
2.927499732,127,F,Blacknose
1.381674702,107,F,Blacknose
1.26582126,100,M,Blacknose
2.318769822,123,F,Blacknose
4.998123978,113,M,Blacknose
2.620475184,111,M,Blacknose
1.993552176,117,M,Blacknose
1.63399848,109,F,Blacknose
2.234325473,92,F,Blacktip
5.492835942,121,M,Blacknose
1.05042725,73,M,Bonnethead
6.43095,103,M,Blacktip
4.929991206,127,F,Blacknose
1.62622821,108,F,Blacktip
1.191711277,109,M,Blacktip
2.240582208,122,M,Blacknose
0.842598743,78,M,Blacktip
1.391373702,111,M,Blacknose
0.896389848,100,F,Blacknose
1.465140058,66,F,Blacktip
0.868332224,86,F,Blacktip
3.314274546,122,F,Blacknose
1.486876416,124,M,Blacknose
0.40987177,60,M,Bonnethead
0.00026257,65,M,Bonnethead
0.49072566,59,M,Bonnethead
0.36314299,72,F,Bonnethead
0.559860067,63,F,Blacktip
1.39508826,107,F,Blacknose
1.193031581,88,M,Blacktip
1.017768601,64,F,Blacktip
1.073220447,61,M,Blacktip
1.634744263,88,M,Blacktip
0.34106169,63,F,Bonnethead
0.28820111,58,F,Bonnethead
0.40901214,59,M,Bonnethead
2.581567884,125,F,Blacknose
3.49088952,129,F,Blacknose
8.178950438,170,F,Blacktip
2.588590914,132,F,Blacknose
0.50119746,62,M,Bonnethead
5.294433792,164,F,Blacktip
4.069559208,124,F,Blacknose
0.39414299,59,F,Bonnethead
0.4818237,62,M,Bonnethead
0.91923153,65,F,Bonnethead
0.64783955,77,F,Bonnethead
1.510674264,107,F,Blacknose
1.40786934,79,M,Bonnethead
1.23797694,95,F,Bonnethead
1.06956045,74,M,Bonnethead
2.23511922,75,M,Bonnethead
1.85302314,89,F,Bonnethead
0.540705517,61,M,Blacktip
1.163888904,91,F,Blacknose
1.667346183,65,F,Blacktip
1.652711277,60.5,F,Blacktip
1.892661316,64,M,Blacktip
1.054023024,71,M,Blacktip
1.071495594,94,F,Blacknose
0.308324532,117,F,Blacknose
0.616696128,114,F,Blacknose
0.74216356,75,M,Bonnethead
7.153183487,155,M,Blacktip
3.231249037,142,M,Blacktip
2.311286196,157,M,Blacktip
1.111214684,162,F,Blacktip
3.019127724,133.5,M,Blacktip
4.11536544,157,F,Blacktip
4.062732148,145,M,Blacktip
4.765882536,122,M,Blacknose
4.269372171,148,F,Blacktip
4.840225705,165,F,Blacktip
2.156749776,143,M,Blacktip
3.884000143,165,F,Blacktip
0.72880256,68,M,Bonnethead
0.95072815,90,F,Bonnethead
0.21344151,53,M,Bonnethead
0.64706269,92,F,Bonnethead
4.506177268,162,M,Blacktip
2.465370048,115,F,Blacknose
4.335607866,123,M,Blacknose
